x	Average
sift-kmeans-1000-02-canny-tfidf-segments	0.053850
sift-kmeans-2000-02-slic-lsi-segments	0.030080
sift-kmeans-2000-02-slic-tfidf-segments	0.023747
surf-kmeans-2000-02-otsu-tfidf-segments	0.028546
sift-kmeans-1000-02-none-bow-images	0.057416
surf-kmeans-1000-02-otsu-tfidf-segments	0.010590
surf-kmeans-1000-02-otsu-lsi-segments	0.012129
surf-kmeans-2000-02-canny-tfidf-segments	0.059066
sift-kmeans-1000-02-canny-lsi-segments	0.050773
surf-kmeans-1000-02-canny-lsi-segments	0.048936
surf-kmeans-1000-02-slic-lsi-segments	0.037770
sift-kmeans-2000-02-none-bow-images	0.038473
surf-kmeans-2000-02-canny-lsi-segments	0.051137
sift-kmeans-2000-02-otsu-lsi-segments	0.010533
sift-kmeans-2000-02-canny-tfidf-segments	0.029982
surf-som-2000-02-slic-lsi-segments	0.027675
surf-kmeans-2000-02-none-bow-images	0.041353
surf-som-1000-02-slic-lsi-segments	0.022347
sift-kmeans-1000-02-otsu-tfidf-segments	0.006267
surf-kmeans-1000-02-slic-tfidf-segments	0.034103
sift-som-1000-02-slic-lsi-segments	0.013861
sift-kmeans-2000-02-otsu-tfidf-segments	0.022295
sift-kmeans-2000-02-canny-lsi-segments	0.031411
sift-kmeans-1000-02-slic-lsi-segments	0.024755
surf-kmeans-2000-02-otsu-lsi-segments	0.027743
sift-som-2000-02-slic-lsi-segments	0.012116
surf-kmeans-2000-02-slic-tfidf-segments	0.032247
surf-kmeans-1000-02-canny-tfidf-segments	0.051952
sift-kmeans-1000-02-otsu-lsi-segments	0.010267
sift-kmeans-1000-02-slic-tfidf-segments	0.019755
surf-kmeans-1000-02-none-bow-images	0.030076
surf-kmeans-2000-02-slic-lsi-segments	0.035452
