x	im7959.jpg	im3522.jpg	im13718.jpg	im14149.jpg	im3439.jpg	im23288.jpg	im22496.jpg	im2177.jpg	im5735.jpg	im551.jpg	im8431.jpg	im14985.jpg	im12527.jpg	im7652.jpg	im13487.jpg	im22309.jpg	im24440.jpg	im23589.jpg	im16499.jpg	im12155.jpg	im5473.jpg	im4810.jpg	im7590.jpg	im16864.jpg	im23739.jpg	im20283.jpg	im4904.jpg	im24766.jpg	im24413.jpg	im12387.jpg	im14251.jpg	im3430.jpg	im2764.jpg	im160.jpg	im21314.jpg	im10711.jpg	im22656.jpg	im23056.jpg	im16953.jpg	im10943.jpg	im8726.jpg	im6766.jpg	im11070.jpg	im6637.jpg	im3511.jpg	im7576.jpg	im3474.jpg	im4696.jpg	im13098.jpg	im6856.jpg
sift-kmeans-1000-02-canny-tfidf-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.285714	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.153846	0.000000	0.095238	0.090909	0.086957	0.086957	0.166667	0.000000	0.000000	0.000000	0.142857
sift-kmeans-2000-02-slic-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.153846	0.000000	0.000000	0.000000	0.000000	0.090909	0.083333	0.173913	0.076923	0.076923	0.148148	0.200000	0.000000
sift-kmeans-2000-02-slic-tfidf-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.153846	0.000000	0.000000	0.000000	0.000000	0.090909	0.083333	0.173913	0.076923	0.076923	0.148148	0.133333	0.000000
surf-kmeans-2000-02-otsu-tfidf-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.133333	0.000000	0.190476	0.000000	0.000000	0.000000	0.083333	0.080000	0.275862	0.214286
sift-kmeans-1000-02-none-bow-images	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125000	0.000000	0.000000	0.083333	0.000000	0.153846	0.153846	0.071429	0.133333	0.066667
surf-kmeans-1000-02-otsu-tfidf-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083333	0.086957	0.000000	0.080000	0.076923	0.133333	0.068966
surf-kmeans-1000-02-otsu-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083333	0.086957	0.000000	0.080000	0.153846	0.133333	0.068966
surf-kmeans-2000-02-canny-tfidf-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.285714	0.250000	0.000000	0.000000	0.200000	0.200000	0.000000	0.000000	0.142857	0.153846	0.125000	0.000000	0.000000	0.086957	0.086957	0.000000	0.153846	0.153846	0.066667	0.214286
sift-kmeans-1000-02-canny-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.285714	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095238	0.090909	0.086957	0.086957	0.166667	0.000000	0.000000	0.000000	0.142857
surf-kmeans-1000-02-canny-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.285714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142857	0.000000	0.000000	0.125000	0.000000	0.181818	0.086957	0.173913	0.000000	0.076923	0.230769	0.000000	0.142857
surf-kmeans-1000-02-slic-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142857	0.142857	0.000000	0.000000	0.090909	0.181818	0.166667	0.166667	0.076923	0.076923	0.142857	0.066667	0.133333
sift-kmeans-2000-02-none-bow-images	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083333	0.000000	0.076923	0.153846	0.142857	0.066667	0.066667
surf-kmeans-2000-02-canny-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.285714	0.500000	0.000000	0.000000	0.200000	0.200000	0.000000	0.000000	0.000000	0.153846	0.125000	0.000000	0.000000	0.000000	0.086957	0.083333	0.153846	0.153846	0.066667	0.214286
sift-kmeans-2000-02-otsu-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095238	0.000000	0.160000	0.000000	0.000000	0.071429
sift-kmeans-2000-02-canny-tfidf-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.285714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142857	0.000000	0.000000	0.000000	0.190476	0.090909	0.086957	0.000000	0.000000	0.076923	0.153846	0.066667	0.071429
surf-som-2000-02-slic-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142857	0.000000	0.000000	0.090909	0.250000	0.000000	0.000000	0.000000	0.000000	0.066667	0.133333
surf-kmeans-2000-02-none-bow-images	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142857	0.000000	0.000000	0.000000	0.090909	0.083333	0.166667	0.076923	0.230769	0.142857	0.066667	0.066667
surf-som-1000-02-slic-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.181818	0.000000	0.250000	0.076923	0.153846	0.071429	0.066667	0.066667
sift-kmeans-1000-02-otsu-tfidf-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095238	0.000000	0.080000	0.000000	0.066667	0.071429
surf-kmeans-1000-02-slic-tfidf-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142857	0.142857	0.000000	0.000000	0.090909	0.181818	0.166667	0.166667	0.076923	0.076923	0.142857	0.133333	0.133333
sift-som-1000-02-slic-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.181818	0.083333	0.000000	0.076923	0.076923	0.074074	0.066667	0.133333
sift-kmeans-2000-02-otsu-tfidf-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095238	0.000000	0.160000	0.000000	0.066667	0.142857
sift-kmeans-2000-02-canny-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.285714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142857	0.000000	0.000000	0.000000	0.190476	0.090909	0.086957	0.000000	0.000000	0.076923	0.153846	0.066667	0.142857
sift-kmeans-1000-02-slic-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.181818	0.000000	0.000000	0.000000	0.000000	0.090909	0.090909	0.000000	0.086957	0.000000	0.153846	0.000000	0.066667	0.066667
surf-kmeans-2000-02-otsu-lsi-segments	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.133333	0.000000	0.190476	0.000000	0.090909	0.000000	0.083333	0.080000	0.344828	0.214286
