x	Average
sift-kmeans-1000-02-canny-tfidf-segments	0.052237
sift-kmeans-2000-02-slic-lsi-segments	0.029609
sift-kmeans-2000-02-slic-tfidf-segments	0.023276
surf-kmeans-2000-02-otsu-tfidf-segments	0.027437
sift-kmeans-1000-02-none-bow-images	0.057416
surf-kmeans-1000-02-otsu-tfidf-segments	0.010300
surf-kmeans-1000-02-otsu-lsi-segments	0.011729
surf-kmeans-2000-02-canny-tfidf-segments	0.057482
sift-kmeans-1000-02-canny-lsi-segments	0.049380
surf-kmeans-1000-02-canny-lsi-segments	0.047484
surf-kmeans-1000-02-slic-lsi-segments	0.037770
sift-kmeans-2000-02-none-bow-images	0.038473
surf-kmeans-2000-02-canny-lsi-segments	0.049496
sift-kmeans-2000-02-otsu-lsi-segments	0.010077
sift-kmeans-2000-02-canny-tfidf-segments	0.028707
surf-som-2000-02-slic-lsi-segments	0.027675
surf-kmeans-2000-02-none-bow-images	0.041353
surf-som-1000-02-slic-lsi-segments	0.022347
sift-kmeans-1000-02-otsu-tfidf-segments	0.005872
surf-kmeans-1000-02-slic-tfidf-segments	0.034103
sift-som-1000-02-slic-lsi-segments	0.013809
sift-kmeans-2000-02-otsu-tfidf-segments	0.021744
sift-kmeans-2000-02-canny-lsi-segments	0.030041
sift-kmeans-1000-02-slic-lsi-segments	0.024380
surf-kmeans-2000-02-otsu-lsi-segments	0.026437
sift-som-2000-02-slic-lsi-segments	0.011990
surf-kmeans-2000-02-slic-tfidf-segments	0.032247
surf-kmeans-1000-02-canny-tfidf-segments	0.050395
sift-kmeans-1000-02-otsu-lsi-segments	0.009872
sift-kmeans-1000-02-slic-tfidf-segments	0.019380
surf-kmeans-1000-02-none-bow-images	0.030076
surf-kmeans-2000-02-slic-lsi-segments	0.035452
