x	Average
sift-kmeans-1000-02-canny-tfidf-segments	0.055834
sift-kmeans-2000-02-slic-lsi-segments	0.030608
sift-kmeans-2000-02-slic-tfidf-segments	0.024275
surf-kmeans-2000-02-otsu-tfidf-segments	0.029823
sift-kmeans-1000-02-none-bow-images	0.057416
surf-kmeans-1000-02-otsu-tfidf-segments	0.010913
surf-kmeans-1000-02-otsu-lsi-segments	0.012580
surf-kmeans-2000-02-canny-tfidf-segments	0.061019
sift-kmeans-1000-02-canny-lsi-segments	0.052501
surf-kmeans-1000-02-canny-lsi-segments	0.050730
surf-kmeans-1000-02-slic-lsi-segments	0.037770
sift-kmeans-2000-02-none-bow-images	0.038473
surf-kmeans-2000-02-canny-lsi-segments	0.053162
sift-kmeans-2000-02-otsu-lsi-segments	0.011094
sift-kmeans-2000-02-canny-tfidf-segments	0.031570
surf-som-2000-02-slic-lsi-segments	0.027675
surf-kmeans-2000-02-none-bow-images	0.041353
surf-som-1000-02-slic-lsi-segments	0.022347
sift-kmeans-1000-02-otsu-tfidf-segments	0.006761
surf-kmeans-1000-02-slic-tfidf-segments	0.034103
sift-som-1000-02-slic-lsi-segments	0.013918
sift-kmeans-2000-02-otsu-tfidf-segments	0.022966
sift-kmeans-2000-02-canny-lsi-segments	0.033109
sift-kmeans-1000-02-slic-lsi-segments	0.025198
surf-kmeans-2000-02-otsu-lsi-segments	0.029252
sift-som-2000-02-slic-lsi-segments	0.012252
surf-kmeans-2000-02-slic-tfidf-segments	0.032247
surf-kmeans-1000-02-canny-tfidf-segments	0.053867
sift-kmeans-1000-02-otsu-lsi-segments	0.010761
sift-kmeans-1000-02-slic-tfidf-segments	0.020198
surf-kmeans-1000-02-none-bow-images	0.030076
surf-kmeans-2000-02-slic-lsi-segments	0.035452
