x	Average
ukbench00002.jpg	0.552083
ukbench00007.jpg	0.729167
ukbench00009.jpg	0.239583
ukbench00013.jpg	0.229167
ukbench00016.jpg	0.270833
ukbench00020.jpg	0.156250
ukbench00025.jpg	0.750000
ukbench00031.jpg	0.677083
ukbench00032.jpg	0.416667
ukbench00037.jpg	0.229167
ukbench00042.jpg	0.395833
ukbench00046.jpg	0.583333
ukbench00049.jpg	0.625000
ukbench00053.jpg	0.385417
ukbench00058.jpg	0.427083
ukbench00061.jpg	0.583333
ukbench00066.jpg	0.385416
ukbench00071.jpg	0.291667
ukbench00075.jpg	0.250000
ukbench00076.jpg	0.854167
ukbench00081.jpg	0.302083
ukbench00084.jpg	0.781250
ukbench00091.jpg	0.437500
ukbench00092.jpg	0.604167
ukbench00099.jpg	0.510417
ukbench00102.jpg	0.395833
ukbench00106.jpg	0.552083
ukbench00108.jpg	0.552083
ukbench00112.jpg	0.343750
ukbench00118.jpg	0.072917
ukbench00121.jpg	0.677083
ukbench00125.jpg	0.895833
ukbench00131.jpg	0.541667
ukbench00135.jpg	0.260417
ukbench00138.jpg	0.218750
ukbench00140.jpg	0.187500
ukbench00147.jpg	0.333333
ukbench00148.jpg	0.395833
ukbench00154.jpg	0.458333
ukbench00158.jpg	0.437500
ukbench00163.jpg	0.208333
ukbench00166.jpg	0.218750
ukbench00170.jpg	0.458333
ukbench00173.jpg	0.268750
ukbench00177.jpg	0.208333
ukbench00182.jpg	0.510417
ukbench00185.jpg	0.458333
ukbench00188.jpg	0.447917
ukbench00193.jpg	0.185417
ukbench00196.jpg	0.104167
