x	Average
sift-kmeans-1000-02-canny-tfidf-segments	0.446667
sift-kmeans-2000-02-slic-lsi-segments	0.386667
sift-kmeans-2000-02-slic-tfidf-segments	0.406667
surf-kmeans-2000-02-otsu-tfidf-segments	0.386667
sift-kmeans-1000-02-none-bow-images	0.893333
surf-kmeans-1000-02-otsu-tfidf-segments	0.326667
surf-kmeans-1000-02-otsu-lsi-segments	0.353333
surf-kmeans-2000-02-canny-tfidf-segments	0.393333
sift-kmeans-1000-02-canny-lsi-segments	0.446667
surf-kmeans-1000-02-canny-lsi-segments	0.340000
surf-kmeans-1000-02-slic-lsi-segments	0.300000
sift-kmeans-2000-02-none-bow-images	0.913333
surf-kmeans-2000-02-canny-lsi-segments	0.373333
sift-kmeans-2000-02-otsu-lsi-segments	0.433333
sift-kmeans-2000-02-canny-tfidf-segments	0.500000
surf-som-2000-02-slic-lsi-segments	0.146667
surf-kmeans-2000-02-none-bow-images	0.873333
surf-som-1000-02-slic-lsi-segments	0.153333
sift-kmeans-1000-02-otsu-tfidf-segments	0.400000
surf-kmeans-1000-02-slic-tfidf-segments	0.306667
sift-som-1000-02-slic-lsi-segments	0.166667
sift-kmeans-2000-02-otsu-tfidf-segments	0.433333
sift-kmeans-2000-02-canny-lsi-segments	0.506667
sift-kmeans-1000-02-slic-lsi-segments	0.293333
surf-kmeans-2000-02-otsu-lsi-segments	0.386667
sift-som-2000-02-slic-lsi-segments	0.246667
surf-kmeans-2000-02-slic-tfidf-segments	0.380000
surf-kmeans-1000-02-canny-tfidf-segments	0.353333
sift-kmeans-1000-02-otsu-lsi-segments	0.393333
sift-kmeans-1000-02-slic-tfidf-segments	0.326667
surf-kmeans-1000-02-none-bow-images	0.833333
surf-kmeans-2000-02-slic-lsi-segments	0.366667
