x	ukbench00002.jpg	ukbench00007.jpg	ukbench00009.jpg	ukbench00013.jpg	ukbench00016.jpg	ukbench00020.jpg	ukbench00025.jpg	ukbench00031.jpg	ukbench00032.jpg	ukbench00037.jpg	ukbench00042.jpg	ukbench00046.jpg	ukbench00049.jpg	ukbench00053.jpg	ukbench00058.jpg	ukbench00061.jpg	ukbench00066.jpg	ukbench00071.jpg	ukbench00075.jpg	ukbench00076.jpg	ukbench00081.jpg	ukbench00084.jpg	ukbench00091.jpg	ukbench00092.jpg	ukbench00099.jpg	ukbench00102.jpg	ukbench00106.jpg	ukbench00108.jpg	ukbench00112.jpg	ukbench00118.jpg	ukbench00121.jpg	ukbench00125.jpg	ukbench00131.jpg	ukbench00135.jpg	ukbench00138.jpg	ukbench00140.jpg	ukbench00147.jpg	ukbench00148.jpg	ukbench00154.jpg	ukbench00158.jpg	ukbench00163.jpg	ukbench00166.jpg	ukbench00170.jpg	ukbench00173.jpg	ukbench00177.jpg	ukbench00182.jpg	ukbench00185.jpg	ukbench00188.jpg	ukbench00193.jpg	ukbench00196.jpg
sift-kmeans-1000-02-canny-tfidf-segments	0.666667	1.000000	0.666667	0.000000	0.333333	0.000000	1.000000	0.666667	0.666667	0.333333	0.666667	1.000000	0.666667	0.000000	0.666667	0.333333	0.333333	0.000000	0.333333	1.000000	0.666667	1.000000	0.666667	1.000000	0.666667	0.333333	0.000000	0.666667	0.333333	0.000000	0.666667	1.000000	1.000000	0.333333	0.000000	0.000000	0.666667	0.333333	0.000000	1.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.666667	0.333333	0.000000	0.333333	0.000000
sift-kmeans-2000-02-slic-lsi-segments	0.666667	1.000000	0.000000	0.000000	0.333333	0.333333	0.333333	0.666667	0.666667	0.000000	0.666667	0.666667	0.666667	0.666667	0.000000	0.333333	0.333333	0.666667	0.000000	0.666667	0.000000	0.333333	1.000000	0.666667	0.000000	0.666667	0.666667	0.333333	0.333333	0.000000	1.000000	0.666667	0.333333	0.000000	0.000000	0.333333	0.333333	0.333333	0.000000	0.333333	0.000000	0.333333	0.000000	0.333333	0.666667	0.666667	0.333333	0.666667	0.333333	0.000000
sift-kmeans-2000-02-slic-tfidf-segments	0.666667	1.000000	0.000000	0.000000	0.333333	0.333333	0.333333	0.666667	0.666667	0.000000	0.666667	0.333333	0.666667	0.666667	0.333333	0.333333	0.333333	0.666667	0.000000	1.000000	0.000000	0.333333	1.000000	0.666667	0.000000	0.666667	0.666667	0.333333	0.666667	0.000000	1.000000	0.666667	0.333333	0.000000	0.000000	0.666667	0.333333	0.333333	0.000000	0.333333	0.000000	0.333333	0.000000	0.333333	0.666667	0.666667	0.333333	0.666667	0.333333	0.000000
surf-kmeans-2000-02-otsu-tfidf-segments	0.333333	0.666667	0.666667	0.000000	0.333333	0.000000	0.666667	1.000000	0.000000	0.000000	0.333333	1.000000	0.000000	0.666667	0.000000	0.666667	0.333333	0.000000	0.333333	1.000000	0.000000	0.666667	0.000000	1.000000	1.000000	0.333333	0.666667	0.666667	0.000000	0.000000	0.666667	1.000000	0.333333	0.000000	0.333333	0.333333	0.000000	0.333333	0.333333	0.333333	0.000000	0.333333	0.666667	0.333333	0.333333	0.666667	0.666667	0.000000	0.000000	0.333333
sift-kmeans-1000-02-none-bow-images	1.000000	1.000000	0.333333	1.000000	0.666667	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.666667	1.000000	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.666667	0.666667	1.000000	1.000000	1.000000	0.666667	1.000000	0.666667	1.000000	1.000000	0.666667	1.000000	1.000000	0.666667	1.000000	0.666667	1.000000	1.000000	1.000000	0.666667	0.666667	0.666667
surf-kmeans-1000-02-otsu-tfidf-segments	0.333333	0.666667	0.333333	0.333333	0.000000	0.333333	0.333333	0.666667	0.000000	0.000000	0.333333	0.333333	0.333333	0.666667	0.000000	0.333333	0.333333	0.000000	0.666667	0.666667	0.000000	1.000000	0.000000	0.666667	0.333333	0.333333	0.666667	0.666667	0.333333	0.000000	0.666667	1.000000	0.333333	0.000000	0.333333	0.000000	0.333333	0.333333	0.666667	0.333333	0.000000	0.000000	0.666667	0.333333	0.000000	0.333333	0.333333	0.000000	0.000000	0.000000
surf-kmeans-1000-02-otsu-lsi-segments	0.333333	0.666667	0.333333	0.333333	0.000000	0.333333	0.666667	0.333333	0.000000	0.000000	0.333333	0.666667	0.333333	0.333333	0.000000	0.333333	0.333333	0.000000	0.666667	1.000000	0.000000	1.000000	0.000000	0.666667	0.666667	0.333333	0.666667	1.000000	0.333333	0.000000	0.666667	1.000000	0.666667	0.000000	0.333333	0.000000	0.666667	0.333333	0.666667	0.333333	0.000000	0.000000	0.333333	0.333333	0.000000	0.333333	0.333333	0.000000	0.000000	0.000000
surf-kmeans-2000-02-canny-tfidf-segments	0.333333	0.666667	0.000000	0.000000	0.333333	0.000000	1.000000	1.000000	0.666667	0.000000	0.000000	0.333333	0.000000	0.000000	0.666667	1.000000	0.333333	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.666667	1.000000	0.333333	1.000000	0.333333	0.000000	0.000000	0.666667	1.000000	0.666667	0.333333	0.333333	0.000000	0.000000	0.000000	0.333333	0.666667	0.666667	0.000000	0.666667	0.666667	0.000000	0.333333	0.666667	0.000000	0.000000	0.000000
sift-kmeans-1000-02-canny-lsi-segments	1.000000	1.000000	0.666667	0.000000	0.333333	0.000000	1.000000	0.666667	0.666667	0.333333	0.333333	0.666667	0.666667	0.000000	0.666667	0.333333	0.333333	0.000000	0.666667	1.000000	0.666667	1.000000	0.666667	0.666667	0.333333	0.333333	0.000000	0.666667	0.333333	0.000000	0.666667	1.000000	1.000000	0.333333	0.333333	0.000000	0.666667	0.666667	0.000000	0.666667	0.000000	0.000000	0.666667	0.000000	0.000000	0.666667	0.333333	0.000000	0.333333	0.000000
surf-kmeans-1000-02-canny-lsi-segments	0.666667	0.333333	0.000000	0.000000	0.333333	0.000000	0.666667	0.666667	0.000000	0.000000	0.000000	0.000000	0.666667	0.000000	0.666667	0.666667	0.333333	0.333333	0.000000	0.666667	0.333333	1.000000	1.000000	0.333333	0.333333	0.333333	0.666667	0.333333	0.333333	0.000000	0.666667	1.000000	0.333333	0.333333	0.333333	0.000000	0.000000	0.333333	0.000000	0.333333	0.666667	0.000000	0.000000	0.666667	0.333333	0.666667	0.666667	0.000000	0.000000	0.000000
surf-kmeans-1000-02-slic-lsi-segments	0.000000	0.000000	0.333333	0.333333	0.000000	0.000000	0.666667	0.333333	0.000000	0.333333	0.000000	0.666667	1.000000	0.666667	0.333333	0.333333	0.333333	0.333333	0.000000	1.000000	0.333333	0.666667	0.000000	0.666667	0.000000	0.000000	0.666667	0.333333	0.000000	0.000000	0.333333	1.000000	0.333333	0.333333	0.000000	0.333333	0.000000	0.000000	0.666667	0.666667	0.333333	0.333333	0.333333	0.000000	0.000000	0.333333	0.000000	0.666667	0.000000	0.000000
